"Date","Price","Open","High","Low","Vol.","Change %"
"08/16/2012","92.05","91.52","92.24","91.33","4.81M","0.59%"
"08/15/2012","91.51","90.99","91.69","90.72","763.32K","0.18%"
"08/14/2012","91.35","91.19","91.68","90.90","1.09M","0.25%"
"08/13/2012","91.12","90.71","91.18","90.54","1.08M","0.10%"
"08/10/2012","91.03","90.35","91.15","90.20","1.01M","0.54%"
"08/09/2012","90.54","90.48","90.63","90.00","1.07M","-0.39%"
"08/08/2012","90.89","90.25","91.00","89.71","1.08M","0.63%"
"08/07/2012","90.32","89.44","90.50","89.12","1.33M","1.49%"
"08/06/2012","88.99","89.61","89.84","88.94","837.89K","-0.45%"
"08/03/2012","89.39","89.43","89.56","88.47","1.05M","1.06%"
"08/02/2012","88.45","88.74","88.83","87.47","1.40M","-0.57%"
"08/01/2012","88.96","89.86","90.00","88.80","3.68M","-0.35%"
"07/31/2012","89.27","89.18","89.61","88.97","2.26M","0.21%"
"07/30/2012","89.08","89.59","89.85","88.78","1.48M","-1.24%"
"07/27/2012","90.20","88.74","90.51","88.65","1.50M","1.86%"
"07/26/2012","88.55","88.65","88.87","87.96","1.36M","0.99%"
"07/25/2012","87.68","88.12","88.22","86.56","2.35M","-0.13%"
"07/24/2012","87.79","87.49","89.16","86.93","2.03M","1.01%"
"07/23/2012","86.91","86.90","87.29","86.56","1.54M","-0.91%"
"07/20/2012","87.71","88.07","88.49","87.38","1.35M","-0.90%"
"07/19/2012","88.51","88.80","88.80","87.77","1.23M","-0.10%"
"07/18/2012","88.60","87.40","88.67","87.27","1.15M","1.34%"
"07/17/2012","87.43","87.14","87.81","86.72","1.30M","0.33%"
"07/16/2012","87.14","87.01","87.22","86.16","1.12M","-0.13%"
"07/13/2012","87.25","86.13","87.33","86.10","1.38M","1.43%"
"07/12/2012","86.02","86.41","86.61","85.65","1.61M","-0.94%"
"07/11/2012","86.84","87.10","87.30","86.52","1.40M","-0.21%"
"07/10/2012","87.02","87.67","88.23","86.71","963.14K","-0.42%"
"07/09/2012","87.39","86.89","87.55","86.82","1.38M","0.61%"
"07/06/2012","86.86","86.43","87.00","86.11","892.94K","-0.16%"
"07/05/2012","87.00","87.16","87.54","86.85","1.74M","-0.58%"
"07/03/2012","87.51","87.22","87.51","87.09","1.08M","0.40%"
"07/02/2012","87.16","87.32","87.65","86.51","1.09M","0.09%"
"06/29/2012","87.08","86.00","87.09","86.00","2.17M","3.02%"
"06/28/2012","84.53","84.09","84.75","83.46","1.05M","-0.45%"
"06/27/2012","84.91","83.43","85.18","83.43","1.25M","1.83%"
"06/26/2012","83.38","84.56","84.67","83.15","1.48M","-1.03%"
"06/25/2012","84.25","84.67","85.25","84.17","1.53M","-1.29%"
"06/22/2012","85.35","84.73","85.50","84.22","1.57M","1.16%"
"06/21/2012","84.37","85.18","85.53","84.27","1.62M","-0.20%"
"06/20/2012","84.54","85.16","85.27","84.12","1.16M","-0.89%"
"06/19/2012","85.30","85.02","85.61","84.44","1.50M","0.64%"
"06/18/2012","84.76","83.48","84.84","83.34","1.50M","1.57%"
"06/15/2012","83.45","83.38","83.89","83.17","1.71M","0.14%"
"06/14/2012","83.33","82.85","83.60","82.44","1.36M","0.80%"
"06/13/2012","82.67","82.97","83.44","82.40","1.13M","-0.84%"
"06/12/2012","83.37","83.08","83.79","82.75","1.47M","1.10%"
"06/11/2012","82.46","83.79","83.79","82.39","886.31K","-1.00%"
"06/08/2012","83.29","82.94","83.41","82.65","1.12M","0.17%"
"06/07/2012","83.15","83.04","83.65","82.69","1.78M","0.93%"
"06/06/2012","82.38","81.79","82.44","81.28","3.65M","1.93%"
"06/05/2012","80.82","80.81","80.92","80.14","1.42M","-0.28%"
"06/04/2012","81.05","81.23","81.96","80.44","1.51M","-0.21%"
"06/01/2012","81.22","81.64","82.02","81.01","1.80M","-1.91%"
"05/31/2012","82.80","82.74","83.47","82.62","1.61M","0.00%"
"05/30/2012","82.80","82.40","83.25","81.52","1.96M","-1.03%"
"05/29/2012","83.66","83.29","83.69","82.83","7.99M","1.15%"
"05/25/2012","82.71","83.25","83.62","82.62","6.31M","-0.79%"
"05/24/2012","83.37","83.58","83.58","82.51","5.98M","0.02%"
"05/23/2012","83.35","83.37","83.48","82.19","1.57M","-0.41%"
"05/22/2012","83.69","83.60","84.23","83.09","1.53M","0.07%"
"05/21/2012","83.63","83.25","83.66","82.52","1.25M","1.03%"
"05/18/2012","82.78","83.16","83.78","82.60","1.56M","-0.06%"
"05/17/2012","82.83","84.22","84.30","82.78","1.40M","-1.78%"
"05/16/2012","84.33","84.93","85.32","84.29","1.32M","-0.31%"
"05/15/2012","84.59","85.03","85.37","84.42","1.40M","-0.72%"
"05/14/2012","85.20","84.66","85.40","84.17","1.19M","-0.01%"
"05/11/2012","85.21","86.18","86.33","85.17","1.92M","-1.06%"
"05/10/2012","86.12","86.59","86.91","86.00","1.32M","0.20%"
"05/09/2012","85.95","86.53","86.91","85.92","1.76M","-1.35%"
"05/08/2012","87.13","86.99","87.22","86.25","1.67M","-0.21%"
"05/07/2012","87.31","87.78","88.11","86.98","2.17M","-0.59%"
